length,num_missed,route_distance(km),route_num,percent_complete,percent_missing,end_latency,birds_eye_distance(km)
7.0,1.0,8152.741023172208,74.0,0.8571428571428571,0.1428571428571429,0.0,-1.0
7.0,1.0,7270.620483704784,75.0,0.8571428571428571,0.1428571428571429,0.0,-1.0
13.0,4.0,6105.20480263736,76.0,0.6923076923076923,0.3076923076923077,0.0,-1.0
7.0,3.0,704.9203244897652,77.0,0.5714285714285714,0.4285714285714286,0.0,-1.0
9.0,1.0,17376.085407933722,78.0,0.8888888888888888,0.11111111111111116,0.0,-1.0
11.0,4.0,23261.844062769786,79.0,0.6363636363636364,0.36363636363636365,0.0,-1.0
9.0,1.0,18300.931942436888,80.0,0.8888888888888888,0.11111111111111116,0.0,-1.0
7.0,1.0,43041.7411709043,81.0,0.8571428571428571,0.1428571428571429,0.0,-1.0
11.0,4.0,30254.57433043245,82.0,0.6363636363636364,0.36363636363636365,0.0,-1.0
12.0,1.0,23799.43552995416,83.0,0.9166666666666666,0.08333333333333337,0.0,-1.0
13.0,7.0,23808.085770709724,84.0,0.46153846153846156,0.5384615384615384,259.6,-1.0
11.0,2.0,18935.432254051837,85.0,0.8181818181818182,0.18181818181818177,99.6,6242.188244965929
10.0,1.0,2637.419553438604,86.0,0.9,0.09999999999999998,14.1,530.8698306007083
9.0,5.0,7720.134077765476,87.0,0.4444444444444444,0.5555555555555556,36.8,1740.0922494688048
7.0,0.0,7193.695182237841,88.0,1.0,0.0,43.1,2182.696980792319
9.0,1.0,11452.711344333777,89.0,0.8888888888888888,0.11111111111111116,76.2,530.8698306007083
9.0,2.0,7207.664228039944,90.0,0.7777777777777778,0.2222222222222222,71.3,3849.9335246689784
10.0,3.0,3283.7085747377946,91.0,0.7,0.30000000000000004,33.9,-1.0
11.0,2.0,17249.22713527415,92.0,0.8181818181818182,0.18181818181818177,83.0,530.8698306007083
12.0,3.0,18502.640118470637,93.0,0.75,0.25,93.8,5875.848009188567
12.0,1.0,30658.435390083807,94.0,0.9166666666666666,0.08333333333333337,99.5,530.8698306007083
11.0,1.0,47960.15899473347,95.0,0.9090909090909091,0.09090909090909094,229.5,530.8698306007083
