link_distance,coords,IPs
3391.401142364879,"[(33.9149, -84.3446), (37.2414, -121.78299999999999)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
6015.013445524035,"[(43.6509, -79.3618), (48.9067, 2.36939)]",
6014.708564682592,"[(43.6509, -79.3618), (48.8607, 2.3281)]",
8993.173375043269,"[(37.2414, -121.78299999999999), (48.8607, 2.3281)]",
3391.401142364879,"[(33.9149, -84.3446), (37.2414, -121.78299999999999)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
5878.216154278451,"[(40.7234, -74.0054), (52.36, 4.89814)]",
8820.074542272745,"[(37.2414, -121.78299999999999), (52.36, 4.89814)]",
3391.401142364879,"[(33.9149, -84.3446), (37.2414, -121.78299999999999)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
4106.786223818129,"[(37.2414, -121.78299999999999), (40.7234, -74.0054)]",
3391.401142364879,"[(33.9149, -84.3446), (37.2414, -121.78299999999999)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
4.993939204532348,"[(-33.9118, 151.19299999999996), (-33.8688, 151.209)]",
15566.027864612608,"[(-33.8688, 151.209), (43.6509, -79.3618)]",
3627.667915146423,"[(37.2414, -121.78299999999999), (43.6509, -79.3618)]",
3391.401142364879,"[(33.9149, -84.3446), (37.2414, -121.78299999999999)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
2884.852238891431,"[(22.2872, 114.212), (35.6882, 139.7532)]",
13483.25228372745,"[(22.2872, 114.212), (33.9149, -84.3446)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
11784.579443867424,"[(28.552, 77.2695), (40.7234, -74.0054)]",
12455.955736364243,"[(28.552, 77.2695), (37.2414, -121.78299999999999)]",
3391.401142364879,"[(33.9149, -84.3446), (37.2414, -121.78299999999999)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
837.0891525578984,"[(33.9149, -84.3446), (39.0438, -77.4874)]",
479.2401525867921,"[(48.8566, 2.35222), (50.1109, 8.68213)]",
430.2387741672647,"[(48.8566, 2.35222), (52.3702, 4.895169999999999)]",
5878.435244422666,"[(40.7128, -74.006), (52.3702, 4.895169999999999)]",
14.870484062227272,"[(40.7128, -74.006), (40.812, -74.1243)]",
536.9243561626506,"[(40.8364, -74.1403), (43.6644, -79.4195)]",
541.6909666414989,"[(40.7357, -74.1724), (43.6644, -79.4195)]",
14.286429255095918,"[(40.7128, -74.006), (40.7357, -74.1724)]",
14.870484062227272,"[(40.7128, -74.006), (40.812, -74.1243)]",
6.857442448944248,"[(25.7617, -80.1918), (25.8119, -80.2318)]",
1494.5284041403147,"[(25.7617, -80.1918), (39.0438, -77.4874)]",
350.721193096423,"[(39.0438, -77.4874), (40.7128, -74.006)]",
14.870484062227272,"[(40.7128, -74.006), (40.812, -74.1243)]",
2.324670970710825,"[(32.7767, -96.79700000000001), (32.7787, -96.8217)]",
1160.5174387232976,"[(32.7767, -96.79700000000001), (33.749, -84.38799999999998)]",
852.9698389905603,"[(33.749, -84.38799999999998), (39.0438, -77.4874)]",
350.721193096423,"[(39.0438, -77.4874), (40.7128, -74.006)]",
14.870484062227272,"[(40.7128, -74.006), (40.812, -74.1243)]",
3647.6612509608276,"[(37.7353, -122.3732), (43.6644, -79.4195)]",
3623.6905526201426,"[(37.2329, -121.7875), (43.6644, -79.4195)]",
14.590078213264391,"[(37.2329, -121.7875), (37.3382, -121.88600000000001)]",
2964.553235398807,"[(37.3382, -121.88600000000001), (41.8781, -87.6298)]",
2964.553235398807,"[(37.3382, -121.88600000000001), (41.8781, -87.6298)]",
4111.736759716782,"[(37.3382, -121.88600000000001), (40.7128, -74.006)]",
14.870484062227272,"[(40.7128, -74.006), (40.812, -74.1243)]",
15.021500776969537,"[(47.5579, -122.1633), (47.6144, -122.3447)]",
13.780068936507694,"[(47.5579, -122.1633), (47.6062, -122.33200000000001)]",
8204.346438351018,"[(47.6062, -122.33200000000001), (50.1109, 8.68213)]",
6983.641606721834,"[(41.8781, -87.6298), (50.1109, 8.68213)]",
6626.330777289668,"[(41.8781, -87.6298), (52.3702, 4.895169999999999)]",
5878.435244422666,"[(40.7128, -74.006), (52.3702, 4.895169999999999)]",
14.870484062227272,"[(40.7128, -74.006), (40.812, -74.1243)]",
2.83305150838649,"[(43.6493, -79.3912), (43.6644, -79.4195)]",
551.4638057898054,"[(40.7128, -74.006), (43.6493, -79.3912)]",
14.870484062227272,"[(40.7128, -74.006), (40.812, -74.1243)]",
5695.059925783691,"[(43.6644, -79.4195), (51.5353, -0.6658)]",
5999.867503048682,"[(43.6644, -79.4195), (52.3702, 4.895169999999999)]",
6626.330777289668,"[(41.8781, -87.6298), (52.3702, 4.895169999999999)]",
1147.191043173558,"[(40.7128, -74.006), (41.8781, -87.6298)]",
14.870484062227272,"[(40.7128, -74.006), (40.812, -74.1243)]",
5.712044706735426,"[(48.8566, 2.35222), (48.9067, 2.36939)]",
5852.936654194425,"[(40.7128, -74.006), (48.8566, 2.35222)]",
